Ticker,Momentum,Volatility,Volume,Sharpe,EarningsDrift,Sentiment,mom_10d,rsi_scaled,ema_cross,atr_pct,bbw,vol_ratio,sharpe30,drift_3d,sent_finbert,Composite
UPS,2.159609282267503,0.12339403793012095,3.953051103246233,1.050867498950849,-1.3749753424460258,-0.7524078356482622,0.14515165384026774,1.4233875826600226,1.0,0.025383999278157824,0.1300875881051373,2.2651414049207736,3.6785910239863964,-0.034896492247743605,-0.04174089431762695,1.033681833550732
CVS,0.874148756721138,0.4492889289903542,-0.18839046076495353,2.250214659750663,0.6382909587263803,0.7294041356326583,0.04202981114330773,1.1524803529056307,1.0,0.02011408369703771,0.12808319856233313,0.35515579427008587,6.884155833500611,0.010628013459722752,0.46302688121795654,0.7863526621984347
MSFT,1.1090017088028519,0.2317893820467531,0.717187331663452,1.0924978734349158,1.1333400633546806,0.1943943441561966,0.06030330872412781,1.213580518382973,1.0,0.015888878960170036,0.061613474201662265,0.7727979428140893,3.789858943580277,0.021822193671254153,0.28077993790308636,0.7845015282936405
KLAC,2.08127937481105,0.3579303465197795,-0.620458987344598,1.0316489538759797,0.27845660867390865,-0.6298719688802158,0.1691413721631454,0.7870215464011607,1.0,0.03176326906475459,0.21773072300328825,0.155890718130058,3.6272245024356384,0.0024913447472098005,0.0,0.6323657023994904
AAPL,1.2236386121154286,0.3787545966150621,-0.23750618335122195,1.2010571669681447,-0.32707431397745623,1.123292502005025,0.08419098458509455,0.9369311511271541,1.0,0.018616674933516396,0.10541336811602314,0.3325041832437012,4.080011672056138,-0.011201079314245133,0.5972019036610922,0.589461322998292
WELL,0.8349102042420861,0.21480284139988876,0.3076209934880914,0.9970397941867891,0.6002984079719088,0.3050460478782721,0.06377703605359808,0.6344784182848734,1.0,0.02112786696827418,0.10519556053243599,0.5839106192986103,3.534722591385511,0.009768915936133382,0.3184725840886434,0.5679366034753449
GOOG,1.3474894835407867,0.21730478447714743,-0.09611488986157678,0.5865795404184928,0.38881005266705554,0.26465068378559,0.08983948986222412,1.0508104269901417,1.0,0.023787474366805623,0.1288274667930857,0.3977122350446178,2.437661633400268,0.004986685769894694,0.3047122160593669,0.5386896016427809
SHW,0.09269134673591992,-0.17763388436134334,1.7837981956287792,-0.5077142827532815,0.170230710920414,2.092260449614016,0.040012554014713375,0.4889526343069516,0.0,0.022246104517524682,0.061824782560957865,1.2647067071537061,-0.4871210195964907,4.41123581783609e-05,0.9272733330726624,0.4138192983424997
META,0.7295461899558301,0.01742353763175239,-0.1274261651316507,-0.7667421937316097,2.749661213390162,-0.7318399600711964,0.06202632405330277,0.4750525725995615,1.0,0.020756239094500986,0.07520137480035809,0.38327183203696535,-1.1794399604779475,0.058370871497450794,-0.03473460674285889,0.3910111871872236
GILD,0.040414337041270926,0.22624362113805516,-0.621202717224053,0.7944356026751879,2.1212153907545024,-0.6298719688802158,0.009368610309817837,0.276059568874328,1.0,0.02369248976668963,0.12920655320289418,0.15554771839288578,2.9932106023659526,0.04416028970668129,0.0,0.3365323530307528
CAT,0.17678877285224084,0.4043503463128747,-0.5334826251349631,1.8237239804077479,-0.733552101731782,0.8656141826922931,8.773039382359293e-05,0.7188323805892111,1.0,0.022589755819019182,0.14367730850269878,0.19600322429958755,5.744249426104985,-0.020392461675239337,0.5094257791837057,0.29513206877601483
HWM,0.8777450730582815,-0.1224725342999023,-0.33440355408664857,0.6922651210872547,0.11293076366239417,0.1609690237548082,0.061695609329465384,0.7564825244273579,1.0,0.02611495442903584,0.10318118679768346,0.2878162211044266,2.7201336226105766,-0.0012515690797249013,0.2693938612937927,0.2816575133795208
UNH,0.30301232173619486,-0.44118906426773324,1.8037960896201508,0.8436786423033493,-1.805163991213445,1.3048676169510893,0.016100390480529914,0.6248998897916579,1.0,0.02587685714562725,0.05791862031774104,1.2739295077598418,3.124825334200796,-0.04462403081762628,0.6590540607770284,0.24434864038211926
TT,0.25436879173502036,-0.2485650948624189,-0.472831552447029,0.9162827897012794,0.2979468069694727,1.0858390887063785,0.018602235360015484,0.48352235021112266,1.0,0.022350538968498555,0.053130201450237925,0.22397480721678895,3.318878655483002,0.002932062223595988,0.5844436883926392,0.2336727944654676
CDNS,-0.11028253067265156,-0.3636377809922481,0.5123357342127945,-0.4905762669160935,1.0825146504118959,1.5330786595347972,0.046062946685533346,-0.011104425877498514,0.0,0.03232001169604045,0.12485411954342139,0.6783227226758616,-0.4413152493673345,0.020672916101639682,0.7367923855781555,0.21865079474315674
NEE,-0.09610017429780274,0.021803128792322855,-0.04598373094587465,2.2830241093219565,-0.7305283870280214,0.04821555165717588,-0.011578399510939974,0.45195195695089796,1.0,0.02372947843971248,0.10183445337603399,0.42083215372373,6.971847554799332,-0.02032408864519908,0.2309852639834086,0.21113393605194053
EQIX,0.33749095248019256,0.4029656142986408,-0.5952642436698918,1.0995652162530347,-0.3491167273849688,-0.09070209333585946,0.01903549935639881,0.6287022760253574,1.0,0.018238494857647558,0.10538117505702893,0.1675102465331373,3.8087482411706657,-0.011699508148221183,0.18366404374440512,0.17917328842591645
BMY,-0.8845501334512134,0.05081471503371937,1.6983119983277142,-0.9508582963505087,1.4650727701299717,0.25771295255940097,-0.003445142919723976,-0.4323698332342424,0.0,0.020425240232511636,0.07682605540357694,1.2252814480426883,-1.671537760606531,0.029323420654565058,0.30234893163045246,0.1466756757159572
